chunk_id,source_id,issues,char_count
CCI_ANXIETY_f168eb53_00007_735328b9824c,CCI_ANXIETY,['too_short'],57
CCI_ANXIETY_cd347c73_00000_de2c4cedad48,CCI_ANXIETY,['too_short'],52
CCI_ANXIETY_cd347c73_00006_59b07f6f294d,CCI_ANXIETY,['too_short'],79
CCI_ANXIETY_772e6d01_00003_bea3d78e3fe3,CCI_ANXIETY,['too_short'],54
CCI_ANXIETY_6e6d55a1_00007_53c13a07b63d,CCI_ANXIETY,['too_short'],73
CCI_ANXIETY_75df6d99_00010_7a75eb252a11,CCI_ANXIETY,['too_short'],69
CCI_ANXIETY_4f77f7f2_00000_1108b5c07e0a,CCI_ANXIETY,['too_short'],45
CCI_ANXIETY_1daab2bb_00000_e9727bcf2e08,CCI_ANXIETY,['too_short'],73
CCI_ANXIETY_942c4f40_00000_f8022c6a00ba,CCI_ANXIETY,['too_short'],34
CCI_ANXIETY_c858fb44_00000_6e529f11dba0,CCI_ANXIETY,['too_short'],34
CCI_ANXIETY_1cdbdba5_00000_9650bd66a9b5,CCI_ANXIETY,['too_short'],72
CCI_ANXIETY_1cdbdba5_00009_26a323af8f0f,CCI_ANXIETY,['too_short'],27
CCI_ANXIETY_1cdbdba5_00010_a854cb5ba20a,CCI_ANXIETY,['too_short'],29
CCI_ANXIETY_1cdbdba5_00011_0e497b9a6a35,CCI_ANXIETY,['too_short'],22
CCI_ANXIETY_1cdbdba5_00012_556505861cef,CCI_ANXIETY,['too_short'],31
CCI_ANXIETY_1cdbdba5_00017_e35cfc1c2bc1,CCI_ANXIETY,['too_short'],74
CCI_ANXIETY_87694864_00000_9650bd66a9b5,CCI_ANXIETY,['too_short'],72
CCI_ANXIETY_87694864_00009_26a323af8f0f,CCI_ANXIETY,['too_short'],27
CCI_ANXIETY_87694864_00010_a854cb5ba20a,CCI_ANXIETY,['too_short'],29
CCI_ANXIETY_87694864_00011_0e497b9a6a35,CCI_ANXIETY,['too_short'],22
CCI_ANXIETY_87694864_00012_556505861cef,CCI_ANXIETY,['too_short'],31
CCI_ANXIETY_87694864_00017_e35cfc1c2bc1,CCI_ANXIETY,['too_short'],74
CCI_ANXIETY_6f18c581_00000_9650bd66a9b5,CCI_ANXIETY,['too_short'],72
CCI_ANXIETY_6f18c581_00009_26a323af8f0f,CCI_ANXIETY,['too_short'],27
CCI_ANXIETY_6f18c581_00010_a854cb5ba20a,CCI_ANXIETY,['too_short'],29
CCI_ANXIETY_6f18c581_00011_0e497b9a6a35,CCI_ANXIETY,['too_short'],22
CCI_ANXIETY_6f18c581_00012_556505861cef,CCI_ANXIETY,['too_short'],31
CCI_ANXIETY_6f18c581_00017_e35cfc1c2bc1,CCI_ANXIETY,['too_short'],74
CCI_ANXIETY_73506bab_00000_9650bd66a9b5,CCI_ANXIETY,['too_short'],72
CCI_ANXIETY_73506bab_00009_26a323af8f0f,CCI_ANXIETY,['too_short'],27
CCI_ANXIETY_73506bab_00010_a854cb5ba20a,CCI_ANXIETY,['too_short'],29
CCI_ANXIETY_73506bab_00011_0e497b9a6a35,CCI_ANXIETY,['too_short'],22
CCI_ANXIETY_73506bab_00012_556505861cef,CCI_ANXIETY,['too_short'],31
CCI_ANXIETY_73506bab_00017_e35cfc1c2bc1,CCI_ANXIETY,['too_short'],74
CCI_ASSERTIVENESS_9d6cabae_00005_cba18fd3019d,CCI_ASSERTIVENESS,['too_short'],46
CCI_ASSERTIVENESS_9d6cabae_00008_1fd7d034e8e5,CCI_ASSERTIVENESS,['too_short'],46
CCI_ASSERTIVENESS_d1e23f46_00000_4e679b5f024c,CCI_ASSERTIVENESS,['too_short'],64
CCI_ASSERTIVENESS_d1e23f46_00018_e35cfc1c2bc1,CCI_ASSERTIVENESS,['too_short'],74
CCI_ASSERTIVENESS_46d51f89_00000_4e679b5f024c,CCI_ASSERTIVENESS,['too_short'],64
CCI_ASSERTIVENESS_46d51f89_00018_e35cfc1c2bc1,CCI_ASSERTIVENESS,['too_short'],74
CCI_ASSERTIVENESS_d345308c_00000_4e679b5f024c,CCI_ASSERTIVENESS,['too_short'],64
CCI_ASSERTIVENESS_d345308c_00018_e35cfc1c2bc1,CCI_ASSERTIVENESS,['too_short'],74
CCI_BIPOLAR_1b98b6e7_00014_096f1b59e454,CCI_BIPOLAR,['too_short'],73
CCI_BIPOLAR_1b98b6e7_00024_5ffe3192333d,CCI_BIPOLAR,['too_short'],76
CCI_BIPOLAR_1b98b6e7_00029_9c9c3afd87a3,CCI_BIPOLAR,['too_short'],76
CCI_BIPOLAR_1b98b6e7_00034_2644f3bbd2e8,CCI_BIPOLAR,['too_short'],76
CCI_BIPOLAR_1b98b6e7_00039_a390a485fc7a,CCI_BIPOLAR,['too_short'],76
