chunk_id,source_id,title,target_collection,topic,topics,language,section,chunk_type,evidence_level,source_authority,review_priority,review_status,decision,reviewed_by,review_comment,official_page_url,downloaded_url,content_preview
CCI_PERFECTIONISM_89504769_00000_dd650be80361,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,What is Perfectionism? Introduction 2 What is perfectionism? 2 What’s good about being a perfectionist? 3 What’s so bad about being a perfectionist? 4 Am I a perfectionist? 5 When am I a perfectionist? 6 How am I a perfectionist? 6 What next? 8 Module Summary 9 About This Module 
CCI_PERFECTIONISM_89504769_00001_ac6f4b1c8f52,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,The information provided in this document is for information purposes only. Please refer to the full disclaimer and copyright statement available at http://www.cci.health.wa.gov.au regarding the information on this website before making use of such information. Introduction
CCI_PERFECTIONISM_89504769_00002_c0c4cb646995,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,Perfectionism is often mistaken for ‘being perfect’ or ‘doing something perfectly’. Many people assume that it must be a good thing. Other people think of being a perfectionist as being something negative and embarrassing. So is it a good or a bad thing?
CCI_PERFECTIONISM_89504769_00003_1cd276d6c33f,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"Perfectionism involves putting pressure on ourselves to meet high standards which then powerfully influences the way we think about ourselves. Researchers have shown that parts of perfectionism are helpful, and parts are unhelpful. We’re here to help you identify and work on the "
CCI_PERFECTIONISM_89504769_00004_e229ffccf8cd,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"There is a big difference between the healthy and helpful pursuit of excellence and the unhealthy and unhelpful striving for perfection. In this module we will define perfectionism, identifying both the helpful and the unhelpful aspects of being a perfectionist, and identifying i"
CCI_PERFECTIONISM_89504769_00005_39a88381a146,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"Perfectionism is not necessarily about being ‘perfect’. Ask yourself this question…is it ever really possible to be 100% ‘perfect’? So, if it’s not about being ‘perfect’, then what do we mean when we say someone is a perfectionist? Researchers in the field may not be able to agre"
CCI_PERFECTIONISM_89504769_00006_a7f00ed1b879,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"1. The relentless striving for extremely high standards (for yourself and/or others) that are personally demanding, in the context of the individual. (Typically, to an outsider the standards are considered to be unreasonable given the circumstances.) We will be referring to this "
CCI_PERFECTIONISM_89504769_00007_7bb122b490ac,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"3. Experiencing negative consequences of setting such demanding standards, yet continuing to go for them despite the huge cost to you. We would agree that it is generally a good idea to have high standards. Having goals helps you achieve things in life. BUT when these goals are e"
CCI_PERFECTIONISM_89504769_00008_c8a7e2be68d6,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"To help make sense of all this, let’s describe two perfectionists. We will be following their stories throughout these modules, so stay tuned!"
CCI_PERFECTIONISM_89504769_00009_f541303a036a,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"Peter, 46, has owned a car repair shop for the last year. He works very hard at his job, takes great pride in the work he does, and receives good feedback from his customers. When Peter is servicing a car he works through a list of tasks and, after completing each task, he checks"
CCI_PERFECTIONISM_89504769_00010_46420a6bc967,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"He is, in fact, so busy that he has not had time to sort out his paperwork since he opened the business. He has been afraid to start, as he knew there was so much to catch up on. Recently Peter had to bring in an accountant, and last week the accountant told him that the business"
CCI_PERFECTIONISM_89504769_00011_b22bfb8a2df0,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,"Polly, 19, is a member of the State basketball team. Basketball takes up a large part of Polly’s life though she balances this with her university studies. Polly is very passionate about basketball and takes it very seriously. She trains daily and maintains a strict diet to keep "
CCI_PERFECTIONISM_89504769_00012_ff3c186f87fd,CCI_PERFECTIONISM,Perfectionism self-help resources,interventions,perfectionism,perfectionism;academic_stress;self_worth;behavioural_experiments;cognition,en,Module 1,knowledge_text,B,clinical_public_service,P0,pending,,,,https://www.cci.health.wa.gov.au/resources/looking-after-yourself/perfectionism,https://www.cci.health.wa.gov.au/~/media/CCI/Consumer-Modules/Perfectionism-in-Perspective/Perfectionism-in-Perspective---01---What-is-Perfectionism.pdf,Recently Polly has lost confidence in her team-mates and has taken on total responsibility for scoring goals. Her coach pulled her aside recently and told her to change her attitude or she would be dropped from the team.
