chunk_id,source_id,title,collection,use_mode,risk_scope,population_tags,topic_tags,language,review_status,char_count,content_preview,review_decision,review_comment
CCI_DISORDERED_EATING_d6d7d1c1_00000_853bbf74d873,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,74,Break Free from ED An Active Guide to Recovering from Your Eating Disorder,,
CCI_DISORDERED_EATING_d6d7d1c1_00001_482eb5c76aeb,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,280,"What Are Eating Disorders?  Introduction 2 Eating Disorders: Myths and Facts 2 Do I Have an Eating Disorder? 3 Taking Your Physical Health Seriously 5 How Did I Get Here? 5 Recovery is Possible Ready, Set, Action A Word on Distress What to ",,
CCI_DISORDERED_EATING_d6d7d1c1_00002_0a91548c5c4e,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,578,This information provided in this document is for information purposes only. Please refer to the full disclaimer and copyright statements available at www.cci.health.wa.gov.au regarding the information on this website before making use of s,,
CCI_DISORDERED_EATING_d6d7d1c1_00003_d3277a401f23,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,36,Module 1: What Are Eating Disorders?,,
CCI_DISORDERED_EATING_d6d7d1c1_00004_4cf3fe598166,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,400,Welcome! This workbook has been developed by clinical psychologists who specialise in the treatment of eating disorders. You can use this workbook as a self-help guide to recovery from an eating disorder or you may wish to work through the ,,
CCI_DISORDERED_EATING_d6d7d1c1_00005_60e7d0a49833,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,446,"This set of modules is designed to help you… • understand eating disorders and what keeps them going • normalise your eating behaviours • reduce other eating disorder behaviours, e.g. binge-eating, vomiting, laxative misuse, driven exercise",,
CCI_DISORDERED_EATING_d6d7d1c1_00006_b157c48e78b2,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,345,It is important that you download or print off the Appendix – ‘Getting Educated about Eating Disorders’. This Appendix contains important information for you to read alongside the content of the modules. Throughout the modules you will see ,,
CCI_DISORDERED_EATING_d6d7d1c1_00007_9533d6ad3813,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,487,"Let’s start by getting on the same page about eating disorders and debunk some of the myths surrounding these illnesses. Eating disorders affect people of all genders, ages, races, ethnicities, sexual orientations, and socio-economic backgr",,
CCI_DISORDERED_EATING_d6d7d1c1_00008_4187c24d4cb2,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,486,"Eating disorders are not lifestyle choices, ‘phases’ that young people grow out of or ‘diets gone too far’. They are serious mental illnesses that can have a severe impact on physical health, relationships, work, mood, and quality of life. ",,
CCI_DISORDERED_EATING_d6d7d1c1_00009_68cbe239444b,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,287,"It is not all doom and gloom when it comes to eating disorders. Full recovery from an eating di sorder is absolutely possible. Early detection and treatment are important, but full recovery is possible at any age and no matter how long you ",,
CCI_DISORDERED_EATING_d6d7d1c1_00010_a1d4aecde1f4,CCI_DISORDERED_EATING,Disordered Eating self-help resources,professional_knowledge,psychoeducation_only,normal,"[""adolescents"", ""young_adults"", ""adults""]","[""eating_disorders"", ""body_image"", ""self_compassion"", ""severe_eating_disorder_risk""]",en,pending,890,"Break Free From ED Module 1: What Are Eating Disorders? D o I Have an Eating Disorder? I t is nearly impossible to get through a whole day without hearing some sort of dietary or exercise advice from a friend, colleague, or the media. We ar",,
