chunk_id,source_id,title,collection,use_mode,risk_scope,population_tags,topic_tags,language,review_status,char_count,content_preview,review_decision,review_comment
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00000_bd7d39eacd9f,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,115,中共教育部党组关于印发《高等学校学生心理健康教育指导纲要》的通知 - 中华人民共和国教育部政府门户网站  Languages English Русский 日本語 Deutsch Français Español العربية,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00001_04c9d8678d86,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,27,登录 | 注册 个人登录 法人登录 个人注册 法人注册,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00002_49d150988097,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,95,信息名称：  中共教育部党组关于印发《高等学校学生心理健康教育指导纲要》的通知  信息索引：  360A12-04-2018-0015-1  生成日期：  2018-07-06  发文机构：,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00003_9152d5d6af32,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,25,发文字号：  教党〔2018〕41号  信息类别：,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00004_00eecfd49198,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,219,内容概述：  中共教育部党组印发《高等学校学生心理健康教育指导纲要》。  中共教育部党组关于印发 《高等学校学生心理健康教育指导纲要》的通知  教党〔2018〕41号  各省、自治区、直辖市党委教育工作部门、教育厅（教委），新疆生产建设兵团教育局，部属各高等学校党委、部省合建各高等学校党委：  《高等学校学生心理健康教育指导纲要》已经部党组会议审议通过，现印发给你们，请结合实际认真贯彻执行。有关落实情况，请及时报告我部思想政治工作司。,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00005_c182461ed0f8,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,231,心理健康教育是提高大学生心理素质、促进其身心健康和谐发展的教育，是高校人才培养体系的重要组成部分，也是高校思想政治工作的重要内容。为深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，推动全国高校思想政治工作会议精神落地生根，切实加强高校思想政治工作体系建设，进一步提升心理育人质量，根据原国家卫生计生委、教育部等22部门联合印发的《关于加强心理健康服务的指导意见》和中共教育部党组《高校思想政治工作质量提升工程实施纲要》的工作要求，特制定本指导纲要。,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00006_7d03d845d681,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,220,深入学习贯彻习近平新时代中国特色社会主义思想，全面贯彻党的教育方针，把立德树人的成效作为检验学校一切工作的根本标准，着力培养德智体美全面发展的社会主义建设者和接班人。坚持育心与育德相统一，加强人文关怀和心理疏导，规范发展心理健康教育与咨询服务，更好地适应和满足学生心理健康教育服务需求，引导学生正确认识义和利、群和己、成和败、得和失，培育学生自尊自信、理性平和、积极向上的健康心态，促进学生心理健康素质与思想道德素质、科学文化素质协调发展。,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00007_63c8c2323ba1,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,150,教育教学、实践活动、咨询服务、预防干预“四位一体”的心理健康教育工作格局基本形成。心理健康教育的覆盖面、受益面不断扩大，学生心理健康意识明显增强，心理健康素质普遍提升。常见精神障碍和心理行为问题预防、识别、干预能力和水平不断提高。学生心理健康问题关注及时、措施得当、效果明显，心理疾病发生率明显下降。,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00008_5e869e2f81e8,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,398,——科学性与实效性相结合。根据学生身心发展规律和心理健康教育规律，科学开展心理健康教育工作，逐步完善心理健康教育和咨询服务体系，切实提高学生心理健康水平，有效解决学生思想、心理和行为问题。  ——普遍性与特殊性相结合。坚持心理健康教育工作面向全体学生开展，对每个学生心理健康发展负责，关注学生个体差异，注重方式方法创新，分层分类开展心理健康教育，满足不同学生群体心理健康服务需求。  ——主导性与主体性相结合。充分发挥心理健康教育教师、心理咨询师、辅导员、班主任等育人主体的主导作,,
MOE_HIGHER_ED_MH_GUIDE_2018_38480b39_00009_6f6b93f4be4f,MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,campus_support,agent_policy_only,normal,"[""university_students"", ""young_adults"", ""adults""]","[""university_students"", ""mental_health_education"", ""counselling_services"", ""campus_support""]",zh-CN,pending,289,1.推进知识教育。健全心理健康教育课程体系，结合实际，把心理健康教育课程纳入学校整体教学计划，规范课程设置，对新生开设心理健康教育公共必修课，大力倡导面向全体学生开设心理健康教育选修和辅修课程，实现大学生心理健康教育全覆盖。公共必修课程原则上应设置2个学分、32—36个学时。完善心理健康教育教材体系，组织编写大学生心理健康教育示范教材，科学规范教学内容。开发建设《大学生心理健康》等在线课程，丰富教育教学形式。创新心理健康教育教学手段，有效改进教学方法，通过线下线上、案例教学、,,
