chunk_id,source_id,title,collection,use_mode,risk_scope,population_tags,topic_tags,language,review_status,char_count,content_preview,review_decision,review_comment
NICE_SELF_HARM_d77a0488_00000_df28ca3f8982,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,133,"Self-harm: assessment, management and preventing recurrence NICE guideline Published: 7 September 2022 www.nice.org.uk/guidance/ng225",,
NICE_SELF_HARM_d77a0488_00001_8028e3cc1c80,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,839,"Your responsibility The recommendations in this guideline represent the view of NICE, arrived at after careful consideration of the evidence available. When exercising their judgement, professionals and practitioners are expected to take th",,
NICE_SELF_HARM_d77a0488_00002_0f7f5aad84e0,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,803,Local commissioners and providers of healthcare have a responsibility to enable the guideline to be applied when individual professionals and people using services wish to use it. They should do so in the context of local and national prior,,
NICE_SELF_HARM_d77a0488_00003_79d773b5d1a0,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,884,Contents Overview ..................................................................................................................................... 6 Who is it for? .......................................................................,,
NICE_SELF_HARM_d77a0488_00004_be30946d6eda,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,879,11 1.4 Involving family members and carers ............................................................................................ 11 1.5 Psychosocial assessment and care by mental health professionals .................................,,
NICE_SELF_HARM_d77a0488_00005_b76c78c6dc48,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,860,29 1.11 Interventions for self-harm ............................................................................................................ 30 1.12 Supporting people to be safe after self-harm ..........................................,,
NICE_SELF_HARM_d77a0488_00006_75fa1e8ab7cb,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,861,41 Care plan ................................................................................................................................................ 41 Cognitive behavioural therapy-informed psychological intervention .............,,
NICE_SELF_HARM_d77a0488_00007_971fecad4d0e,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,306,42 Mechanical restraint ............................................................................................................................. 42 Psychosocial assessment ...............................................................,,
NICE_SELF_HARM_d77a0488_00008_b0b280b8be71,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,895,Risk formulation ..................................................................................................................................... 42 Safety plan ..........................................................................,,
NICE_SELF_HARM_d77a0488_00009_9a8a17725916,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,857,44 2 Assessment in non-specialist settings ............................................................................................ 44 3 Routine admission to hospital .....................................................................,,
NICE_SELF_HARM_d77a0488_00010_268f2a91cbb6,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,799,47 Consent and confidentiality ................................................................................................................. 48 Safeguarding ...............................................................................,,
NICE_SELF_HARM_d77a0488_00011_bbb690e5e254,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,812,54 Assessment and care by professionals from other sectors .............................................................. 59 Admission to and discharge from hospital ..........................................................................,,
NICE_SELF_HARM_d77a0488_00012_069cdb36a8d8,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,595,70 Training ................................................................................................................................................... 71 Supervision .................................................................,,
NICE_SELF_HARM_d77a0488_00013_08de9a4c7e0f,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,148,Update information .................................................................................................................... 77 Page 5 of,,
NICE_SELF_HARM_d77a0488_00014_b94aa8b5aae2,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,882,"This guideline replaces CG16 and CG133. This guideline is the basis of QS34 and QS189. Overview This guideline covers assessment, management and preventing recurrence for children, young people and adults who have self-harmed. It includes t",,
NICE_SELF_HARM_d77a0488_00015_339e569ca94e,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,491,"Recommendations People have the right to be involved in discussions and make informed decisions about their care, as described in NICE's information on making decisions about your care. Making decisions using NICE guidelines explains how we",,
NICE_SELF_HARM_d77a0488_00016_4f7310d7dca0,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,803,"Health and care professionals should follow our general guidelines for people delivering care: • babies, children and young people's experience of healthcare • decision making and mental capacity • medicines adherence • medicines associated",,
NICE_SELF_HARM_d77a0488_00017_f0dcd2f4ea8b,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,867,"need to take other relevant national guidance into account, the recommendations in the guideline may need to be tailored for certain criminal justice system settings during implementation. Putting recommendations into practice can take time",,
NICE_SELF_HARM_d77a0488_00018_b5c1a6f56361,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,578,"Share information with family members or carers (as appropriate). Topics to discuss include: • what self-harm is • why people self-harm and, where possible, the specific circumstances of the person • support and treatments available • self-",,
NICE_SELF_HARM_d77a0488_00019_1ccc8ab4b3f0,NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",safety,safety_only,safety_route_only,"[""adolescents"", ""adults"", ""older_adults""]","[""self_harm"", ""suicidal_thoughts"", ""safety_planning_principles"", ""referral_guidance""]",en,pending,598,1.1.2 Provide information and support for the family members or carers (as appropriate) of the person who has self-harmed. Topics to discuss include: • the emotional impact on the person and their family members or carers • advice on how to,,
