source_id,title,organization,target_collection,chunks,share,review_priority,source_authority
CCI_SOCIAL_ANXIETY,Social Anxiety self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,1017,0.0775,P0,tier_a
WHO_EASE_TRAINING_2025,Early Adolescent Skills for Emotions (EASE): training manual,World Health Organization / UNICEF,helping_skills,812,0.0619,P1,tier_a
WHO_MHGAP_2023,"mhGAP guideline for mental, neurological and substance use disorders, third edition",World Health Organization,evidence,635,0.0484,P1,tier_a
WHO_EASE_INTERVENTION_2023,Early Adolescent Skills for Emotions (EASE),World Health Organization / UNICEF,interventions,611,0.0465,P0,tier_a
WHO_LIVE_LIFE_2021,LIVE LIFE: an implementation guide for suicide prevention in countries,World Health Organization,safety,597,0.0455,P0,tier_a
CCI_SELF_ESTEEM,Self-Esteem self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,587,0.0447,P0,tier_a
CCI_WORRY_RUMINATION,Worry and Rumination self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,584,0.0445,P0,tier_a
WHO_GROUP_PM_PLUS_TRAINING_2026,Group Problem Management Plus (PM+) psychological intervention: training manual,World Health Organization,helping_skills,584,0.0445,P1,tier_a
CCI_PERFECTIONISM,Perfectionism self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,577,0.044,P0,tier_a
WHO_PM_PLUS_TRAINING_2025,Problem Management Plus (PM+) psychological intervention for individuals: training manual,World Health Organization,helping_skills,563,0.0429,P1,tier_a
WHO_GROUP_PM_PLUS_2020,Group Problem Management Plus (Group PM+): group psychological help for adults impaired by distress in communities exposed to adversity,World Health Organization,interventions,538,0.041,P0,tier_a
WHO_HELPING_SKILLS_2025,Foundational helping skills training manual: a competency-based approach for training helpers to support adults,World Health Organization / UNICEF,helping_skills,458,0.0349,P1,tier_a
CCI_PROCRASTINATION,Procrastination self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,450,0.0343,P0,tier_a
CCI_SELF_COMPASSION,Self-Compassion self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,445,0.0339,P0,tier_a
WHO_SELFHELP_2026,"Psychological self-help interventions: delivering self-help for individuals, featuring Step-by-Step and Doing What Matters in Times of Stress",World Health Organization,interventions,418,0.0318,P0,tier_a
CCI_DISTRESS_TOLERANCE,Tolerating Distress self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,372,0.0283,P0,tier_a
CCI_ANXIETY,Anxiety self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,365,0.0278,P0,tier_a
CCI_BODY_DYSMORPHIA,Body Dysmorphia self-help resources,"Centre for Clinical Interventions, Government of Western Australia",professional_knowledge,310,0.0236,P1,tier_a
CCI_HEALTH_ANXIETY,Health Anxiety self-help resources,"Centre for Clinical Interventions, Government of Western Australia",professional_knowledge,290,0.0221,P1,tier_a
CCI_DISORDERED_EATING,Disordered Eating self-help resources,"Centre for Clinical Interventions, Government of Western Australia",professional_knowledge,273,0.0208,P1,tier_a
WHO_DWM_STRESS_2020,Doing What Matters in Times of Stress: An Illustrated Guide,World Health Organization,interventions,270,0.0206,P0,tier_a
WHO_PSYCH_IMPLEMENTATION_2024,Psychological interventions implementation manual: integrating evidence-based psychological interventions into existing services,World Health Organization,governance,265,0.0202,P1,tier_a
CCI_BIPOLAR,Bipolar self-help resources,"Centre for Clinical Interventions, Government of Western Australia",professional_knowledge,240,0.0183,P1,tier_a
NICE_DEPRESSION,Depression in adults: treatment and management,National Institute for Health and Care Excellence,evidence,229,0.0174,P1,tier_a
CCI_PANIC,Panic self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,217,0.0165,P0,tier_a
CCI_DEPRESSION,Depression self-help resources,"Centre for Clinical Interventions, Government of Western Australia",professional_knowledge,208,0.0158,P1,tier_a
NICE_SELF_HARM,"Self-harm: assessment, management and preventing recurrence",National Institute for Health and Care Excellence,safety,198,0.0151,P0,tier_a
CCI_ASSERTIVENESS,Assertiveness self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,194,0.0148,P0,tier_a
CCI_SLEEP,Sleep and insomnia self-help resources,"Centre for Clinical Interventions, Government of Western Australia",interventions,119,0.0091,P0,tier_a
WHO_DEMENTIA_ACTION_PLAN_2017,Global action plan on the public health response to dementia 2017-2025,World Health Organization,professional_knowledge,114,0.0087,P1,tier_a
NICE_GAD_PANIC,Generalised anxiety disorder and panic disorder in adults,National Institute for Health and Care Excellence,evidence,104,0.0079,P1,tier_a
VA_SKILLS_PSYCHOLOGICAL_RECOVERY,Skills for Psychological Recovery,VA National Center for PTSD,helping_skills,77,0.0059,P1,tier_a
NHS_PROBLEM_SOLVING,Problem solving,NHS / Every Mind Matters,interventions,30,0.0023,P0,tier_a
NHS_TODO_LIST,Tackling your to-do list,NHS / Every Mind Matters,interventions,30,0.0023,P0,tier_a
NIMH_ADHD,Attention-Deficit/Hyperactivity Disorder,National Institute of Mental Health,professional_knowledge,30,0.0023,P1,tier_a
NHS_WORRIES,Tackling your worries,NHS / Every Mind Matters,interventions,28,0.0021,P0,tier_a
NHS_CBT_HUB,Self-help CBT techniques,NHS / Every Mind Matters,professional_knowledge,26,0.002,P0,tier_a
NHS_SLEEP,How to fall asleep faster and sleep better,NHS / Every Mind Matters,interventions,26,0.002,P0,tier_a
MOE_STUDENT_MH_ACTION_2023_2025,全面加强和改进新时代学生心理健康工作专项行动计划（2023—2025年）,中华人民共和国教育部等十七部门,campus_support,19,0.0014,P1,tier_a
NHS_THOUGHT_RECORD,Thought record,NHS / Every Mind Matters,interventions,19,0.0014,P0,tier_a
UNICEF_PARENTING_MH,Parent and caregiver mental health support,UNICEF,professional_knowledge,19,0.0014,P0,tier_a
NIMH_DEPRESSION,Depression,National Institute of Mental Health,professional_knowledge,18,0.0014,P1,tier_a
NIMH_PTSD,Post-Traumatic Stress Disorder,National Institute of Mental Health,professional_knowledge,18,0.0014,P1,tier_a
NIMH_SUICIDE_PREVENTION,Suicide Prevention,National Institute of Mental Health,safety,18,0.0014,P0,tier_a
MOE_HIGHER_ED_MH_GUIDE_2018,高等学校学生心理健康教育指导纲要,中华人民共和国教育部,campus_support,17,0.0013,P0,tier_a
NIMH_ANXIETY,Anxiety Disorders,National Institute of Mental Health,professional_knowledge,17,0.0013,P1,tier_a
NIMH_AUTISM,Autism Spectrum Disorder,National Institute of Mental Health,professional_knowledge,17,0.0013,P1,tier_a
NIMH_BIPOLAR,Bipolar Disorder,National Institute of Mental Health,professional_knowledge,16,0.0012,P1,tier_a
NIMH_EATING_DISORDERS,Eating Disorders,National Institute of Mental Health,professional_knowledge,15,0.0011,P1,tier_a
NIMH_OCD,Obsessive-Compulsive Disorder,National Institute of Mental Health,professional_knowledge,14,0.0011,P1,tier_a
WHO_PM_PLUS_2018,Problem Management Plus (PM+): individual psychological help for adults impaired by distress in communities exposed to adversity,World Health Organization,interventions,7,0.0005,P0,tier_a
WHO_SH_PLUS_2021,SELF-HELP PLUS (SH+): a group-based stress management course for adults,World Health Organization,interventions,5,0.0004,P0,tier_a
WHO_SAFETY_PLANNING_2023,Safety planning interventions,World Health Organization,safety,4,0.0003,P0,tier_a
WHO_PFA_FACILITATOR_2013,Psychological first aid: facilitator's manual for orienting field workers,World Health Organization,helping_skills,3,0.0002,P1,tier_a
WHO_PFA_GUIDE_2011,Psychological first aid: Guide for field workers,World Health Organization,helping_skills,3,0.0002,P1,tier_a
WHO_WORK_GUIDELINE_2022,WHO guidelines on mental health at work,World Health Organization,evidence,3,0.0002,P1,tier_a
